Epoch,Train_Loss,Train_Accuracy,Valid_Loss,Valid_Accuracy,Valid_AUC,Valid_F1
1,1.215797787216209,0.5686252722343216,0.9625714394103427,0.6306477409036385,0.9453000609045846,0.6287091605082051
2,1.1974900170397063,0.5826370060891595,0.9116177718575503,0.6678328668532587,0.9487896879899927,0.6618824205945273
3,1.201402731522268,0.5826036712742788,0.8866704983598754,0.6856257497001199,0.9484580141017498,0.6813999918409334
4,1.1984931511202677,0.5839592870794258,0.9638418185620344,0.6551379448220712,0.9451081382785296,0.6553178248798771
5,1.2049771570418644,0.5825481132494778,0.9730523230075264,0.6573370651739304,0.9496331420330731,0.6238807961235557
6,1.0920885426398674,0.6097826570069781,0.8213477407584711,0.7294082367053178,0.9556294595566333,0.7281784286388643
7,1.052643010937281,0.6211942753011245,0.8335749961194493,0.7140143942423031,0.9565098285303733,0.7131369433837937
8,1.0324736509812058,0.6265834037068314,0.8293272426299027,0.7220111955217913,0.9564411707922376,0.7203932273738768
9,1.0222131033474415,0.6318947508778168,0.8220006550897936,0.7345061975209916,0.9568139074405,0.7331302564830602
10,1.0148721473249542,0.6325725587803902,0.8472392856002283,0.7202119152339065,0.9546785523747476,0.7188136053952826
11,1.0065954536606223,0.6357060313791724,0.8393993848373965,0.7259096361455418,0.9558441717194669,0.7249181626526596
12,1.0033008208661203,0.6369060847148762,0.8395277633756602,0.726109556177529,0.9560790184506833,0.725875355938155
13,0.9978088163429856,0.6401284501533402,0.835702385629763,0.728108756497401,0.9558579271878346,0.7276732584349174
14,0.9993184829964692,0.6398951064491755,0.8415477603304534,0.7210115953618552,0.9561533035723537,0.7208696576253143
